title,author,journal,year,source,status,reason
Educational gamification based on personality,"Denden, M. and Tlili, A. and Essalmi, F. and Jemni, M.","Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",2018,Scopus,Duplicated,
"State of the art and practice of urban freight management Part II: Financial approaches, logistics, and demand management",José Holguín-Veras and Johanna Amaya Leal and Ivan Sanchez-Diaz and Michael Browne and Jeffrey Wojtowicz,Transportation Research Part A: Policy and Practice,2018,Science@Direct,Rejected,Study that does not address gamification
A systematic mapping study of gamification models oriented to motivational characteristics,"Dalmina, L. and Barbosa, J.L.V. and Vianna, H.D.",Behaviour and Information Technology,2019,Scopus,Duplicated,
Evaluation of Urology Residency Training and Perceived Resident Abilities in the United States,Zhamshid Okhunov and Shoaib Safiullah and Roshan Patel and Samuel Juncal and Harwood Garland and Nikta R. Khajeh and Jeremy Martin and Taylor Capretz and Courtney Cottone and Mark L. Jordan and Elspeth McDougall and Ralph V. Clayman and Jaime Landman,Journal of Surgical Education,2019,Science@Direct,Rejected,Study that does not address gamification
Understanding Diabetes throughWatch Based Interactive Play,"Patterson, D.",ACM International Conference Proceeding Series,2019,Scopus,Duplicated,
Implications and attitudes of audiologists towards smartphone integration in hearing healthcare,Suzanne H. Kimball and Gurjit Singh and Andrew B. John and Lorienne M. Jenstad,Hearing Research,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification: Predicting the effectiveness of variety game design elements to intrinsically motivate users' energy conservation behaviour,"Wee, S.-C. and Choong, W.-W.",Journal of Environmental Management,2019,Scopus,Duplicated,
Business analytics and big data,,International Journal of Information Management,2019,Science@Direct,Rejected,Study that does not address gamification
Gaming- a bane or a boon-a systematic review,"John, N. and Sharma, M.K. and Kapanee, A.R.M.",Asian Journal of Psychiatry,2019,Scopus,Duplicated,
Randomized evaluation of trial acceptability by INcentive (RETAIN): Study protocol for two embedded randomized controlled trials,Dustin C. Krutsinger and Jacqueline McMahon and Alisa J. Stephens-Shields and Brian Bayes and Steven Brooks and Brian L. Hitsman and Su Fen Lubitz and Celine Reyes and Robert A. Schnoll and S. Ryan Greysen and Ashley Mercede and Mitesh S. Patel and Catherine Reale and Fran Barg and Jason Karlawish and Daniel Polsky and Kevin G. Volpp and Scott D. Halpern,Contemporary Clinical Trials,2019,Science@Direct,Rejected,Study that does not address gamification
DMP-IOT: A distributed movement prediction scheme for IOT health-care applications,Azadeh Zamanifar and Eslam Nazemi and Mojtaba Vahidi-Asl,Computers & Electrical Engineering,2017,Science@Direct,Rejected,Study that does not address gamification
The ingredients of Twitch streaming: Affordances of game streams,Max Sjöblom and Maria Törhönen and Juho Hamari and Joseph Macey,Computers in Human Behavior,2019,Science@Direct,Rejected,Study that does not address gamification
Integrating building and urban semantics to empower smart water solutions,Shaun Howell and Yacine Rezgui and Thomas Beach,Automation in Construction,2017,Science@Direct,Rejected,Study that does not address gamification
Does your health really benefit from using a self-tracking device? Evidence from a longitudinal randomized control trial,Barbara Stiglbauer and Silvana Weber and Bernad Batinic,Computers in Human Behavior,2019,Science@Direct,Rejected,Study that does not address gamification
Learning and language disorders in children: Part I: The preschool child,,Current Problems in Pediatrics,1971,Science@Direct,Rejected,Study that does not address gamification
“May the Force move you”: Roles and actors of information sharing devices in urban mobility,Giovanni Vecchio and Luca Tricarico,Cities,2019,Science@Direct,Rejected,Study that does not address gamification
Taking responsibility: A responsible research and innovation (RRI) perspective on insurance issues of semi-autonomous driving,Martina F. Baumann and Claudia Brändle and Christopher Coenen and Silke Zimmer-Merkle,Transportation Research Part A: Policy and Practice,2018,Science@Direct,Rejected,Study that does not address gamification
Text and data mining of social media to map wildlife recreation activity,Graham G. Monkman and Michel J. Kaiser and Kieran Hyder,Biological Conservation,2018,Science@Direct,Rejected,Study that does not address gamification
Learning strategies and multimedia techniques for scaffolding size and scale cognition,Alejandra J. Magana,Computers & Education,2014,Science@Direct,Rejected,Study that does not address gamification
The Social Media Revolution in Nephrology Education,Gates B. Colbert and Joel Topf and Kenar D. Jhaveri and Tom Oates and Michelle N. Rheault and Silvi Shah and Swapnil Hiremath and Matthew A. Sparks,Kidney International Reports,2018,Science@Direct,Rejected,Study that does not address gamification
"Non-linear growth: The road ahead for Indian IT outsourcing companies: The Infosys experience: In conversation with S. Gopalakrishnan, CEO and MD, Infosys Technologies",Y.L.R. Moorthi,IIMB Management Review,2011,Science@Direct,Rejected,Study that does not address gamification
Call for testing interventions to prevent consumer food waste,Sabrina Stöckli and Eva Niklaus and Michael Dorn,"Resources, Conservation and Recycling",2018,Science@Direct,Rejected,Study that does not address gamification
Cooperation begins: Encouraging critical thinking skills through cooperative reciprocity using a mobile learning game,Hyunjeong Lee and David Parsons and Gyuhyun Kwon and Jieun Kim and Krassie Petrova and Eunju Jeong and Hokyoung Ryu,Computers & Education,2016,Science@Direct,Rejected,Study that does not address gamification
Identification of driving safety profiles from smartphone data using machine learning techniques,Eleni G. Mantouka and Emmanouil N. Barmpounakis and Eleni I. Vlahogianni,Safety Science,2019,Science@Direct,Rejected,Study that does not address gamification
Quality and clarity of health information on Q&A sites,Samuel Kai Wah Chu and Hong Huang and Wendy Nga Man Wong and Wouter F. van Ginneken and Kendra M. Wu and Miu Yan Hung,Library & Information Science Research,2018,Science@Direct,Rejected,Study that does not address gamification
Digital Medicine in Rheumatology: Challenges and Opportunities,R. Swamy Venuturupalli and Paul Sufka and Suleman Bhana,Rheumatic Disease Clinics of North America,2019,Science@Direct,Rejected,Study that does not address gamification
Sensory substitution: Closing the gap between basic research and widespread practical visual rehabilitation,Shachar Maidenbaum and Sami Abboud and Amir Amedi,Neuroscience & Biobehavioral Reviews,2014,Science@Direct,Rejected,Study that does not address gamification
Reverse engineering for the design patterns extraction of android mobile applications for attention deficit disorder,Angela Patricia Villareal-Freire and Andrés Felipe Aguirre Aguirre and César Alberto Collazos Ordoñez,Computer Standards & Interfaces,2019,Science@Direct,Rejected,Study that does not address gamification
Cruising for cash: Prostitution on Grindr,Joseph Brennan,"Discourse, Context & Media",2017,Science@Direct,Rejected,Study that does not address gamification
Haptic interaction for needle insertion training in medical applications: The state-of-the-art,Cléber G. Corrêa and Fátima L.S. Nunes and Edith Ranzini and Ricardo Nakamura and Romero Tori,Medical Engineering & Physics,2019,Science@Direct,Rejected,Study that does not address gamification
Exploring visual prompts for communicating directional awareness to kindergarten children,Vicente Nacher and Sandra Jurdi and Javier Jaen and Fernando Garcia-Sanjuan,International Journal of Human-Computer Studies,2019,Science@Direct,Rejected,Study that does not address gamification
"Mobile crowd sensing – Taxonomy, applications, challenges, and solutions",Djallel Eddine Boubiche and Muhammad Imran and Aneela Maqsood and Muhammad Shoaib,Computers in Human Behavior,2018,Science@Direct,Rejected,Study that does not address gamification
Chapter 3 - Reputation and Identity,Deborah Gonzalez,,2015,Science@Direct,Rejected,Study that does not address gamification
Educational apps from the Android Google Play for Greek preschoolers: A systematic review,Stamatios Papadakis and Michail Kalogiannakis and Nicholas Zaranis,Computers & Education,2018,Science@Direct,Rejected,Study that does not address gamification
Towards an intelligent network for matching offer and demand: From the sharing economy to the global brain,Francis Heylighen,Technological Forecasting and Social Change,2017,Science@Direct,Rejected,Study that does not address gamification
Experiential learning in macroeconomics through FREDcast,Diego Mendez-Carbajo,International Review of Economics Education,2019,Science@Direct,Rejected,Study that does not address gamification
Foreword to the Special Section on EPCGI 2016,,Computers & Graphics,2018,Science@Direct,Rejected,Study that does not address gamification
The impact on nursing students' opinions and motivation of using a “Nursing Escape Room” as a teaching game: A descriptive study,Jose L. Gómez-Urquiza and Juan Gómez-Salgado and Luis Albendín-García and María Correa-Rodríguez and Emilio González-Jiménez and Guillermo A. Cañadas-De la Fuente,Nurse Education Today,2019,Science@Direct,Rejected,Study that does not address gamification
Chapter 7 - An Assessment Analytics Framework (AAF) for Enhancing Students’ Progress,Z. Papamitsiou and A.A. Economides,,2016,Science@Direct,Rejected,Study that does not address gamification
Learn+Fun! Social Media and Gamification Sum Up To Foster A Community of Practice During an Emergency Medicine Rotation,Tiago de Araujo Guerra Grangeia and Bruno de Jorge and Dario Cecílio-Fernandes and Rene A. Tio and Marco Antonio de Carvalho-Filho,Health Professions Education,2018,Science@Direct,Rejected,Study that does not address gamification
Introduction to the special section on Artificial Intelligence and Computer Vision,,Computers & Electrical Engineering,2017,Science@Direct,Rejected,Study that does not address gamification
A systematic mapping study of gamification models oriented to motivational characteristics,"Dalmina, Leonardo and Barbosa, Jorge Luis Victoria and Vianna, Henrique Damasceno",Behaviour and Information Technology,2019,El Compendex,Accepted,
Chapter 5 - Mental Manifests,Alberto Ferreira,,2017,Science@Direct,Rejected,Study that does not address gamification
A survey of gamification for healthcare system,"Wen, C.-H. and Hsien, H.-Y. and Huang, H.-C.","Proceedings of 2015 International Conference on Orange Technologies, ICOT 2015",2016,Scopus,Accepted,
Bridging sustainable business model innovation and user-driven innovation: A process for sustainable value proposition design,B. Baldassarre and G. Calabretta and N.M.P. Bocken and T. Jaskiewicz,Journal of Cleaner Production,2017,Science@Direct,Rejected,Study that does not address gamification
Gamification of Business Processes: Re-designing Work in Production and Service Industry,Oliver Korn and Albrecht Schmidt,Procedia Manufacturing,2015,Science@Direct,Rejected,Not a systematic secondary study
Chapter 10 - Methodology of Predictive Modeling of Students’ Behavior in Virtual Learning Environment,M. Munk and M. Drlík,,2016,Science@Direct,Rejected,Study that does not address gamification
"A review of research questions, theories and methodologies for game- based learning","Costa, C. and Tyner, K. and Henriques, S. and Sousa, C.","Journal of Content, Community and Communication",2016,Scopus,Accepted,
Understanding the potential of human–machine crowdsourcing for weather data,Evangelos Niforatos and Athanasios Vourvopoulos and Marc Langheinrich,International Journal of Human-Computer Studies,2017,Science@Direct,Rejected,Study that does not address gamification
A gamification requirements catalog for educational software: Results from a systematic literature review and a survey with experts,"Peixoto, Mariana and Silva, Carla",Proceedings of the ACM Symposium on Applied Computing,2017,El Compendex,Accepted,
Expanding exertion gaming,Joe Marshall and Florian ‘Floyd’ Mueller and Steve Benford and Sebastiaan Pijnappel,International Journal of Human-Computer Studies,2016,Science@Direct,Rejected,Study that does not address gamification
"Gamified crowdsourcing: Conceptualization, literature review, and future agenda","Morschheuser, B. and Hamari, J. and Koivisto, J. and Maedche, A.",International Journal of Human Computer Studies,2017,Scopus,Accepted,
Comparison of similarity measures to differentiate players' actions and decision-making profiles in serious games analytics,Christian Sebastian Loh and I-Hung Li and Yanyan Sheng,Computers in Human Behavior,2016,Science@Direct,Rejected,Study that does not address gamification
Gamification & Research – Partnership for Innovation,Andreea Cristina Ionica and Monica Leba,Procedia Economics and Finance,2015,Science@Direct,Rejected,Not a secondary study
Automated essay scoring in applied games: Reducing the teacher bandwidth problem in online training,Wim Westera and Mihai Dascalu and Hub Kurvers and Stefan Ruseti and Stefan Trausan-Matu,Computers & Education,2018,Science@Direct,Rejected,Study that does not address gamification
Publication trends in gamification: A systematic mapping study,"Kasurinen, Jussi and Knutas, Antti",Computer Science Review,2018,El Compendex,Accepted,
Near Future School: World building beyond a neoliberal present with participatory design fictions,James R. Duggan and Joseph Lindley and Sarah McNicol,Futures,2017,Science@Direct,Rejected,Study that does not address gamification
Does gamification work? - A literature review of empirical studies on gamification,"Hamari, Juho and Koivisto, Jonna and Sarsa, Harri",Proceedings of the Annual Hawaii International Conference on System Sciences,2014,El Compendex,Accepted,
"Chapter 3 - Software Design Patterns for Persuasive Computer–Human Dialogue: Reminder, Reward, and Instant Feedback",M. Oduor and T. Alahäivälä and H. Oinas-Kukkonen,,2017,Science@Direct,Rejected,Study that does not address gamification
Gamification – A new phenomenon in information systems research?,"Broer, Jan and Poeppelbuss, Jens",Proceedings of the 24th Australasian Conference on Information Systems,2013,El Compendex,Accepted,
"Simulator for modeling, analysis, and visualizations of thermal status in data centers",Rahmat Ullah and Naveed Ahmad and Saif U.R. Malik and Saeed Akbar and Adeel Anjum,Sustainable Computing: Informatics and Systems,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification as strategy for software process improvement: A systematic mapping,M. C. {Gómez-Álvarez} and G. P. {Gasca-Hurtado} and J. A. {Hincapié},,2017,IEEE Digital Library,Rejected,Not English-written papers
Chapter 1 - Using Technology for Evaluation and Support of Patients’ Emotional States in Healthcare,Andrew Sean Wilson and Julie Prescott and Jan Krasniewicz,,2016,Science@Direct,Rejected,Study that does not address gamification
Gamification in thoracic surgery education: A slam dunk?,,The Journal of Thoracic and Cardiovascular Surgery,2015,Science@Direct,Rejected,Not a secondary study
Itinerary recommender system with semantic trajectory pattern mining from geo-tagged photos,Guochen Cai and Kyungmi Lee and Ickjai Lee,Expert Systems with Applications,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification for improving software project: Systematic mapping in project management,"Campos de Mendonca, Claudio Marcio and Valente de Andrade, AntonioManuel",,2018,ISI Web of Science,Rejected,Not English-written papers
Chapter 5 - How Blockchain can Democratize Global Energy Supply,Adam Woodhall,,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification of education and learning: A review of empirical literature,"Majuri, J. and Koivisto, J. and Hamari, J.",CEUR Workshop Proceedings,2018,Scopus,Accepted,
"Santé digitale : promesses, défis et craintes. Une revue de la littérature",M. del Río Carral and P. Roux and C. Bruchez and M. Santiago-Delefosse,Pratiques Psychologiques,2017,Science@Direct,Rejected,Study that does not address gamification
Gamification for improving software project: Systematic mapping in project management,L. {Machuca-Villegas} and G. P. {Gasca-Hurtado},,2018,IEEE Digital Library,Duplicated,
Towards a sharing economy – Innovating ecologies of business models,,Technological Forecasting and Social Change,2018,Science@Direct,Rejected,Study that does not address gamification
The impact of gamification on consumer brand engagement,"Gatautis, R. and Banyte, J. and Piligrimiene, Z. and Vitkauskaite, E. and Tarute, A.",Transformations in Business and Economics,2016,Scopus,Rejected,Could not be obtained
"PNF 2.0? Initial evidence that gamification can increase the efficacy of brief, web-based personalized normative feedback alcohol interventions","Boyle, S.C. and Earle, A.M. and LaBrie, J.W. and Smith, D.J.",Addictive Behaviors,2017,Scopus,Duplicated,
Counterproductive effects of gamification: An analysis on the example of the gamified task manager Habitica,Sarah Diefenbach and Annemarie Müssig,International Journal of Human-Computer Studies,2018,Science@Direct,Rejected,Not a secondary study
The rise of motivational information systems: A review of gamification research,"Koivisto, J. and Hamari, J.",International Journal of Information Management,2019,Scopus,Duplicated,
Gamification in thoracic surgical education: Using competition to fuel performance,Nahush A. Mokadam and Richard Lee and Ara A. Vaporciyan and Jennifer D. Walker and Robert J. Cerfolio and Joshua L. Hermsen and Craig J. Baker and Rebecca Mark and Lauren Aloia and Dan H. Enter and Andrea J. Carpenter and Marc R. Moon and Edward D. Verrier and James I. Fann,The Journal of Thoracic and Cardiovascular Surgery,2015,Science@Direct,Rejected,Not a secondary study
Be a “Superhost”: The importance of badge systems for peer-to-peer rental accommodations,"Liang, S. and Schuckert, M. and Law, R. and Chen, C.-C.",Tourism Management,2017,Scopus,Duplicated,
Gamification in software engineering teamworks: A systematic literature review,L. {Hernández} and M. {Muñoz} and J. {Mejia} and A. {Peña},,2016,IEEE Digital Library,Duplicated,
Connecting students' homework to their participation in a course-based social network,"Gavrin, A. and Lindell, R.S.","ASEE Annual Conference and Exposition, Conference Proceedings",2017,Scopus,Duplicated,
Gamification in engineering education and professional training,"Markopoulos, A.P. and Fragkou, A. and Kasidiaris, P.D. and Davim, J.P.",International Journal of Mechanical Engineering Education,2015,Scopus,Rejected,
"An investigation of player motivations in Eyewire, a gamified citizen science project","Tinati, R. and Luczak-Roesch, M. and Simperl, E. and Hall, W.",Computers in Human Behavior,2017,Scopus,Duplicated,
"TQM, games design and the implications of integration in Industry 4.0 systems","Beard-Gunter, A. and Ellis, D.G. and Found, P.A.",International Journal of Quality and Service Sciences,2019,Scopus,Rejected,Does not address gamification
Gamification of engineering courses,"Mahmud, Z. and Weber, P.J. and Moening, J.P.","ASEE Annual Conference and Exposition, Conference Proceedings",2017,Scopus,Duplicated,
The effect of gamification on motivation and engagement,"Alsawaier, R.S.",International Journal of Information and Learning Technology,2018,Scopus,Rejected,
Exploring the Potential of Game-Based Learning in Massive Open Online Courses,"Hagedorn, C. and Meinel, C.","Proceedings - IEEE 17th International Conference on Advanced Learning Technologies, ICALT 2017",2017,Scopus,Duplicated,
A review of articles using gamification in nursing education,"Oak, J.W.",Asia Life Sciences,2018,Scopus,Rejected,Could not be obtained
Gamification usage ecology,"Costa, C.J. and Aparicio, M. and Aparicio, S. and Aparicio, J.T.",SIGDOC 2017 - 35th ACM International Conference on the Design of Communication,2017,Scopus,Duplicated,
Gamification in amanagement education: Systematic literature review and a proposal of a conceptual research model,"Leal, C. and Silva, R. and Rodrigues, R.",Proceedings of the European Conference on Games-based Learning,2018,Scopus,Duplicated,
Unified Health Gamification can significantly improve well-being in corporate environments,"Shahrestani, A. and Van Gorp, P. and Le Blanc, P. and Greidanus, F. and De Groot, K. and Leermakers, J.","Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2017,Scopus,Duplicated,
Food-related gamification: Literature review,"Könnölä, K. and Ranti, T. and Liukkonen, T.N. and Mäkilä, T.","17th International Conference on Intelligent Games on Simulation, GAME-ON 2016",2016,Scopus,Rejected,Could not be obtained
A review of gamification platforms for higher education,"Goshevski, D. and Veljanoska, J. and Hatziapostolou, H.",ACM International Conference Proceeding Series,2017,Scopus,Duplicated,
METHODS AND TECHNIQUES FOR GAMIFICATION EDUCATIONAL SOFTWARE: A SYSTEMATIC REVIEW,"Pontes, D. and Martins, J.",,2016,ISI Web of Science,Rejected,Could not be obtained
Chapter 13 - New Developments in Sensory and Consumer Research With Children,Monica Laureati and Ella Pagliarini,,2018,Science@Direct,Rejected,Study that does not address gamification
Motivational experiences of gamifications: a systematic literature review,"Pascuas Rengifo, Yois Smith and Vargas Jara, Edgar Oswaldo and MunozZapata, Juan Ignacio",INNOVACION EDUCATIVA-MEXICO,2017,ISI Web of Science,Rejected,Not English-written papers
Savouring our mistakes: Learning from the FitQuest project,Judy Robertson and Andrew Macvean and Samantha Fawkner and Graham Baker and Ruth G. Jepson,International Journal of Child-Computer Interaction,2018,Science@Direct,Rejected,Study that does not address gamification
Conceptualizing playfulness for reflection processes in responsible research and innovation contexts: a narrative literature review,"van der Meij, M.G. and Broerse, J.E.W. and Kupper, F.",Journal of Responsible Innovation,2017,Scopus,Rejected,Does not address gamification
Effects of mixed-reality on players’ behaviour and immersion in a cultural tourism game: A cognitive processing perspective,George E. Raptis and Christos Fidas and Nikolaos Avouris,International Journal of Human-Computer Studies,2018,Science@Direct,Rejected,Study that does not address gamification
"An interdisciplinary perspective on gamification: Mechanics, psychological mediators and outcomes","Helmefalk, Miralem",INTERNATIONAL JOURNAL OF SERIOUS GAMES,2019,ISI Web of Science,Accepted,
Index,,,2017,Science@Direct,Duplicated,
Research into effective gamification features to inform e-learning design,"Doney, Indrel",RESEARCH IN LEARNING TECHNOLOGY,2019,ISI Web of Science,Rejected,
Intelligent Manual Working Station through Assistive Systems,Patrick Bertram and Max Birtel and Fabian Quint and Martin Ruskowski,IFAC-PapersOnLine,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification in a servicescape context: A conceptual framework,"Helmefalk, M. and Marcusson, L.",International Journal of Internet Marketing and Advertising,2019,Scopus,Rejected,Not a secondary study
Is the Resource Man coming home? Engaging with an energy monitoring platform to foster flexible energy consumption in the Netherlands,Nick Verkade and Johanna Höffken,Energy Research & Social Science,2017,Science@Direct,Rejected,Study that does not address gamification
Cloud-assisted gamification for education and learning – Recent advances and challenges,"Hakak, S. and Noor, N.F.M. and Ayub, M.N. and Affal, H. and Hussin, N. and ahmed, E. and Imran, M.",Computers and Electrical Engineering,2019,Scopus,Rejected,
A framework for operative and social sustainability functionalities in Human-Centric Cyber-Physical Production Systems,Marta Pinzone and Federico Albè and Davide Orlandelli and Ilaria Barletta and Cecilia Berlin and Björn Johansson and Marco Taisch,Computers & Industrial Engineering,2018,Science@Direct,Rejected,Study that does not address gamification
Does gamification matter?: A systematic mapping about the evaluation of gamification in educational environments,"Tome Klock, Ana Carolina and Ogawa, Aline Nunes and Gasparini, Isabelaand Pimenta, Marcelo Soares",,2018,ISI Web of Science,Accepted,
"Chapter 10 - 3D Food Printing Technology at Home, Domestic Application",Estefanía Rubio and Sònia Hurtado,,2019,Science@Direct,Rejected,Study that does not address gamification
The dark side of gamification: An overview of negative effects of gamification in education,"Toda, Armando M. and Valle, Pedro H. D. and Isotani, Seiji",Communications in Computer and Information Science,2018,El Compendex,Accepted,
Changes in heart rate and facial actions during a gaming session with provoked boredom and stress,Fernando Bevilacqua and Henrik Engström and Per Backlund,Entertainment Computing,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification for health promotion: systematic review of behaviour change techniques in smartphone apps,"Edwards, E.A. and Lumsden, J. and Rivas, C. and Steed, L. and Edwards, L.A. and Thiyagarajan, A. and Sohanpal, R. and Caton, H. and Griffiths, C.J. and Munafò, M.R. and Taylor, S. and Walton, R.T.",BMJ open,2016,Scopus,Accepted,
Exploring the adoption of self-service checkouts and the associated social obligations of shopping practices,Sandy Bulmer and Jonathan Elms and Simon Moore,Journal of Retailing and Consumer Services,2018,Science@Direct,Rejected,Study that does not address gamification
Special Section on Gamification and Software Engineering,,Information and Software Technology,2018,Science@Direct,Rejected,"Gray literature (position paper, and studies without peer-review process)"
User participation in a corporate prediction market,Daniel E. O'Leary,Decision Support Systems,2015,Science@Direct,Rejected,Study that does not address gamification
Is it all about having fun? - Developing a taxonomy to gamify information systems,"Schobel, Sofia and Janson, Andreas","26th European Conference on Information Systems: Beyond Digitization - Facets of Socio-Technical Change, ECIS 2018",2018,El Compendex,Accepted,
The MINWii project: Renarcissization of patients suffering from Alzheimer’s disease through video game-based music therapy,S. Benveniste and P. Jouvelot and B. Pin and R. Péquignot,Entertainment Computing,2012,Science@Direct,Rejected,Study that does not address gamification
Gamified Cognitive Bias Interventions for Psychiatric Disorders: Protocol of a Systematic Review,"Zhang, Melvyn and Ying, Jiangbo and Ho, Roger C. M.",JMIR RESEARCH PROTOCOLS,2018,ISI Web of Science,Rejected,"Gray literature (position paper, and studies without peer-review process)"
"“Cycling was never so easy!” An analysis of e-bike commuters' motives, travel behaviour and experiences using GPS-tracking and interviews",Paul A. Plazier and Gerd Weitkamp and Agnes E. van den Berg,Journal of Transport Geography,2017,Science@Direct,Rejected,Study that does not address gamification
Gamification in the MOOC Environment for the Deaf: Promoting Inclusionin Distance Education,"da Silva, Alix Ribeiro and Ramos, Beatriz Otto and Biagiotti, Breno deAlmeira and Fadel, Luciane Maria and Ulbricht, Vania Ribas",REVISTA EDUCAONLINE,2018,ISI Web of Science,Rejected,Not English-written papers
Virtual Metrology Laboratory for e-Learning,A. Ballu and X. Yan and A. Blanchard and T. Clet and S. Mouton and H. Niandou,Procedia CIRP,2016,Science@Direct,Rejected,Study that does not address gamification
Exploring the Benefits of Using Gamification and Videogames for PhysicalExercise: a Review of State of Art,"Gonzalez-Gonzalez, Carina S. and Gomez del Rio, Nazaret andNavarro-Adelantado, Vicente",INTERNATIONAL JOURNAL OF INTERACTIVE MULTIMEDIA AND ARTIFICIALINTELLIGENCE,2018,ISI Web of Science,Rejected,Not a systematic secondary study
Saving lives using social media: Analysis of the role of twitter for personal blood donation requests and dissemination,Rabeeh Ayaz Abbasi and Onaiza Maqbool and Mubashar Mushtaq and Naif R. Aljohani and Ali Daud and Jalal S. Alowibdi and Basit Shahzad,Telematics and Informatics,2018,Science@Direct,Rejected,Study that does not address gamification
Review and analysis of published research on gamified intervention in intellectual disability,"Vidal Esteve, Ma Isabel and Lopez Mari, Maria and Marin Suelves, Dianaand Peirats Chacon, Jose",ETIC NET-REVISTA CIENTIFICA ELECTRONICA DE EDUCACION Y COMUNICACION ENLA SOCIEDAD DEL CONOCIMIENTO,2018,ISI Web of Science,Rejected,Not English-written papers
Can evolutionary design of social networks make it easier to be ‘green’?,Janis L. Dickinson and Rhiannon L. Crain and H. Kern Reeve and Jonathon P. Schuldt,Trends in Ecology & Evolution,2013,Science@Direct,Rejected,Study that does not address gamification
State of the Art and Approach to the Concept of Gamification in Learning in Early Childhood,"Pineda Martinez, Edgar Oswaldo and Orozco Pineda, Paula Andrea",INFANCIAS IMAGENES,2018,ISI Web of Science,Rejected,Not English-written papers
Worker Information Systems: State of the Art and Guideline for Selection under Consideration of Company Specific Boundary Conditions,Mario Lušić and Christian Fischer and Jochen Bönig and Rüdiger Hornfeck and Jörg Franke,Procedia CIRP,2016,Science@Direct,Rejected,Study that does not address gamification
Gamification of employee training and development,"Armstrong, Michael B. and Landers, Richard N.",INTERNATIONAL JOURNAL OF TRAINING AND DEVELOPMENT,2018,ISI Web of Science,Rejected,Not a systematic secondary study
The dynamics of urban metabolism in the face of digitalization and changing lifestyles: Understanding and influencing our cities,Glenn Lyons and Patricia Mokhtarian and Martin Dijst and Lars Böcker,"Resources, Conservation and Recycling",2018,Science@Direct,Rejected,Study that does not address gamification
Playful healing,"Caliskan, Yasemin and Entezari, Rosa and Esser, Marc and Ezold, Ulrikeand Gelfart, Dennis and Und, Hafssa Mariami and Beutelspacher, Lisa",INFORMATION-WISSENSCHAFT UND PRAXIS,2018,ISI Web of Science,Rejected,Not English-written papers
Do parents form their children’s sweet preference? The role of parents and taste sensitivity on preferences for sweetness in pre-schoolers,Frida Felicia Fry Vennerød and Valérie Lengard Almli and Ingunn Berget and Nanna Lien,Food Quality and Preference,2017,Science@Direct,Rejected,Study that does not address gamification
A review of gamification approaches in commercial cognitive bias modification gaming applications,"Zhang, M.W.B. and Ying, J.B. and Song, G. and Ho, R.C.M.",Technology and Health Care,2018,Scopus,Rejected,
Chapter 7 - Implementation and Evaluation of E-Health Ecosystems in Two-Sided Markets,P. Nykänen,,2017,Science@Direct,Rejected,Study that does not address gamification
State of play: A citation network analysis of healthcare gamification studies,"Schmidt-Kraepelin, M. and Thiebes, S. and Baumsteiger, D. and Sunyaev, A.","26th European Conference on Information Systems: Beyond Digitization - Facets of Socio-Technical Change, ECIS 2018",2018,Scopus,Rejected,Not a secondary study
Social Media and the Emergence of Reflexiveness as a New Capability for Open Strategy,João Baptista and Alexander D. Wilson and Robert D. Galliers and Steve Bynghall,Long Range Planning,2017,Science@Direct,Rejected,Study that does not address gamification
Serious games and gamified tools for psychological intervention: A review,"Diaz-Orueta, U.","Virtual and Augmented Reality: Concepts, Methodologies, Tools, and Applications",2018,Scopus,Rejected,"Gray literature (position paper, and studies without peer-review process)"
The English Dialects App: The creation of a crowdsourced dialect corpus,Adrian Leemann and Marie-José Kolly and David Britain,Ampersand,2018,Science@Direct,Rejected,Study that does not address gamification
Gamification as a didactic strategy for teaching/learning programming: a systematic mapping of the literature,"Revelo Sanchez, Oscar and Collazos Ordonez, Cesar Alberto and JimenezToledo, Javier Alejandro",REVISTA DIGITAL LAMPSAKOS,2018,ISI Web of Science,Rejected,Not English-written papers
"Linking the dots among destination images, place attachment, and revisit intentions: A study among British and Russian tourists",Nikolaos Stylos and Victoria Bellou and Andreas Andronikidis and Chris A. Vassiliadis,Tourism Management,2017,Science@Direct,Rejected,Study that does not address gamification
A systematic literature review of game-based learning and gamification research in Asia,"So, Hyo-Jeong and Seo, Minhwi",,2018,ISI Web of Science,Accepted,
Designing Interactions to Counter Threats to Human Survival,Yongqi Lou,"She Ji: The Journal of Design, Economics, and Innovation",2018,Science@Direct,Rejected,Study that does not address gamification
Integration of Game-Based Teaching in Bulgarian Schools: State of theArt,"Paunova-Hubenova, Elena and Terzieva, Valentina and Dimitrov, Stanislavand Boneva, Yordanka",,2018,ISI Web of Science,Rejected,Not a secondary study
